evidence_set,dataset,mode,alternatives,criteria,decision_makers,target_alt,clean_target_rank,method,spearman,spearman_mean,spearman_std,kendall,kendall_mean,kendall_std,top1_acc,top1_mean,top1_std,target_rank,target_rank_error,target_rank_error_mean,target_rank_error_std,target_blocked
post_fix_focused_30x200,car_evaluation,clean,300,6,15,Car_1_unacc,300,M1,1.000,1.0,,1.000,1.0,,1.000,1.0,,300,0.000,0.0,,True
post_fix_focused_30x200,car_evaluation,clean,300,6,15,Car_1_unacc,300,M2,0.999±0.000,0.999,0.0,0.985±0.000,0.985,0.0,1.000±0.000,1.0,0.0,300,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,car_evaluation,clean,300,6,15,Car_1_unacc,300,M3,1.000,1.0,,1.000,1.0,,1.000,1.0,,300,0.000,0.0,,True
post_fix_focused_30x200,car_evaluation,clean,300,6,15,Car_1_unacc,300,M4,0.999±0.000,0.999,0.0,0.980±0.000,0.98,0.0,1.000±0.000,1.0,0.0,300,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,car_evaluation,clean,300,6,15,Car_1_unacc,300,M5,0.999±0.000,0.999,0.0,0.983±0.000,0.983,0.0,1.000±0.000,1.0,0.0,300,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,car_evaluation,clean,300,6,15,Car_1_unacc,300,M6,0.999±0.000,0.999,0.0,0.978±0.001,0.978,0.001,1.000±0.000,1.0,0.0,300,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,car_evaluation,clean,300,6,15,Car_1_unacc,300,M7,0.999±0.000,0.999,0.0,0.984±0.000,0.984,0.0,1.000±0.000,1.0,0.0,300,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,car_evaluation,contaminated,300,6,15,Car_1_unacc,300,M1,0.982,0.982,,0.965,0.965,,1.000,1.0,,24,276.000,276.0,,False
post_fix_focused_30x200,car_evaluation,contaminated,300,6,15,Car_1_unacc,300,M2,0.996±0.000,0.996,0.0,0.972±0.001,0.972,0.001,1.000±0.000,1.0,0.0,180,124.400±5.908,124.4,5.908,False
post_fix_focused_30x200,car_evaluation,contaminated,300,6,15,Car_1_unacc,300,M3,0.999,0.999,,0.983,0.983,,1.000,1.0,,300,0.000,0.0,,True
post_fix_focused_30x200,car_evaluation,contaminated,300,6,15,Car_1_unacc,300,M4,0.999±0.000,0.999,0.0,0.978±0.000,0.978,0.0,1.000±0.000,1.0,0.0,300,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,car_evaluation,contaminated,300,6,15,Car_1_unacc,300,M5,0.996±0.000,0.996,0.0,0.973±0.000,0.973,0.0,1.000±0.000,1.0,0.0,192,108.000±0.000,108.0,0.0,False
post_fix_focused_30x200,car_evaluation,contaminated,300,6,15,Car_1_unacc,300,M6,0.999±0.000,0.999,0.0,0.978±0.000,0.978,0.0,1.000±0.000,1.0,0.0,300,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,car_evaluation,contaminated,300,6,15,Car_1_unacc,300,M7,0.999±0.000,0.999,0.0,0.978±0.000,0.978,0.0,1.000±0.000,1.0,0.0,300,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,healthcare_countries_2021,clean,26,13,15,Romania,26,M1,1.000,1.0,,1.000,1.0,,1.000,1.0,,26,0.000,0.0,,True
post_fix_focused_30x200,healthcare_countries_2021,clean,26,13,15,Romania,26,M2,1.000±0.000,1.0,0.0,0.996±0.003,0.996,0.003,1.000±0.000,1.0,0.0,26,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,healthcare_countries_2021,clean,26,13,15,Romania,26,M3,1.000,1.0,,1.000,1.0,,1.000,1.0,,26,0.000,0.0,,True
post_fix_focused_30x200,healthcare_countries_2021,clean,26,13,15,Romania,26,M4,1.000±0.000,1.0,0.0,0.999±0.002,0.999,0.002,1.000±0.000,1.0,0.0,26,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,healthcare_countries_2021,clean,26,13,15,Romania,26,M5,0.999±0.000,0.999,0.0,0.994±0.000,0.994,0.0,1.000±0.000,1.0,0.0,26,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,healthcare_countries_2021,clean,26,13,15,Romania,26,M6,0.999±0.000,0.999,0.0,0.994±0.001,0.994,0.001,1.000±0.000,1.0,0.0,26,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,healthcare_countries_2021,clean,26,13,15,Romania,26,M7,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,26,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,healthcare_countries_2021,contaminated,26,13,15,Romania,26,M1,0.771,0.771,,0.797,0.797,,0.000,0.0,,1,25.000,25.0,,False
post_fix_focused_30x200,healthcare_countries_2021,contaminated,26,13,15,Romania,26,M2,0.871±0.006,0.871,0.006,0.856±0.003,0.856,0.003,1.000±0.000,1.0,0.0,7,18.633±0.482,18.633,0.482,False
post_fix_focused_30x200,healthcare_countries_2021,contaminated,26,13,15,Romania,26,M3,0.999,0.999,,0.994,0.994,,1.000,1.0,,26,0.000,0.0,,True
post_fix_focused_30x200,healthcare_countries_2021,contaminated,26,13,15,Romania,26,M4,0.999±0.000,0.999,0.0,0.993±0.002,0.993,0.002,1.000±0.000,1.0,0.0,26,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,healthcare_countries_2021,contaminated,26,13,15,Romania,26,M5,0.838±0.000,0.838,0.0,0.841±0.002,0.841,0.002,1.000±0.000,1.0,0.0,5,21.000±0.000,21.0,0.0,False
post_fix_focused_30x200,healthcare_countries_2021,contaminated,26,13,15,Romania,26,M6,0.999±0.000,0.999,0.0,0.993±0.002,0.993,0.002,1.000±0.000,1.0,0.0,26,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,healthcare_countries_2021,contaminated,26,13,15,Romania,26,M7,0.999±0.000,0.999,0.0,0.994±0.000,0.994,0.0,1.000±0.000,1.0,0.0,26,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,healthcare_resource_allocation,clean,300,18,15,衡水市_2008,300,M1,1.000,1.0,,1.000,1.0,,1.000,1.0,,300,0.000,0.0,,True
post_fix_focused_30x200,healthcare_resource_allocation,clean,300,18,15,衡水市_2008,300,M2,1.000±0.000,1.0,0.0,0.991±0.000,0.991,0.0,1.000±0.000,1.0,0.0,300,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,healthcare_resource_allocation,clean,300,18,15,衡水市_2008,300,M3,1.000,1.0,,0.991,0.991,,1.000,1.0,,300,0.000,0.0,,True
post_fix_focused_30x200,healthcare_resource_allocation,clean,300,18,15,衡水市_2008,300,M4,1.000±0.000,1.0,0.0,0.988±0.000,0.988,0.0,1.000±0.000,1.0,0.0,300,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,healthcare_resource_allocation,clean,300,18,15,衡水市_2008,300,M5,1.000±0.000,1.0,0.0,0.986±0.000,0.986,0.0,1.000±0.000,1.0,0.0,300,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,healthcare_resource_allocation,clean,300,18,15,衡水市_2008,300,M6,1.000±0.000,1.0,0.0,0.987±0.000,0.987,0.0,1.000±0.000,1.0,0.0,300,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,healthcare_resource_allocation,clean,300,18,15,衡水市_2008,300,M7,1.000±0.000,1.0,0.0,0.988±0.000,0.988,0.0,1.000±0.000,1.0,0.0,300,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,healthcare_resource_allocation,contaminated,300,18,15,衡水市_2008,300,M1,0.980,0.98,,0.970,0.97,,0.000,0.0,,1,299.000,299.0,,False
post_fix_focused_30x200,healthcare_resource_allocation,contaminated,300,18,15,衡水市_2008,300,M2,0.986±0.000,0.986,0.0,0.974±0.000,0.974,0.0,0.900±0.300,0.9,0.3,52,246.600±4.521,246.6,4.521,False
post_fix_focused_30x200,healthcare_resource_allocation,contaminated,300,18,15,衡水市_2008,300,M3,1.000,1.0,,0.993,0.993,,1.000,1.0,,300,0.000,0.0,,True
post_fix_focused_30x200,healthcare_resource_allocation,contaminated,300,18,15,衡水市_2008,300,M4,1.000±0.000,1.0,0.0,0.986±0.000,0.986,0.0,1.000±0.000,1.0,0.0,300,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,healthcare_resource_allocation,contaminated,300,18,15,衡水市_2008,300,M5,0.982±0.000,0.982,0.0,0.974±0.000,0.974,0.0,0.967±0.180,0.967,0.18,16,284.000±0.000,284.0,0.0,False
post_fix_focused_30x200,healthcare_resource_allocation,contaminated,300,18,15,衡水市_2008,300,M6,1.000±0.000,1.0,0.0,0.986±0.000,0.986,0.0,0.867±0.340,0.867,0.34,300,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,healthcare_resource_allocation,contaminated,300,18,15,衡水市_2008,300,M7,1.000±0.000,1.0,0.0,0.986±0.000,0.986,0.0,0.000±0.000,0.0,0.0,300,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,supplier_beg_rashid,clean,4,4,2,A1,4,M1,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,4,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,supplier_beg_rashid,clean,4,4,2,A1,4,M2,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,4,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,supplier_beg_rashid,clean,4,4,2,A1,4,M3,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,4,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,supplier_beg_rashid,clean,4,4,2,A1,4,M4,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,4,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,supplier_beg_rashid,clean,4,4,2,A1,4,M5,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,4,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,supplier_beg_rashid,clean,4,4,2,A1,4,M6,0.800±0.000,0.8,0.0,0.667±0.000,0.667,0.0,1.000±0.000,1.0,0.0,3,1.000±0.000,1.0,0.0,False
post_fix_focused_30x200,supplier_beg_rashid,clean,4,4,2,A1,4,M7,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,4,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,supplier_beg_rashid,contaminated,4,4,2,A1,4,M1,-0.200±0.000,-0.2,0.0,0.000±0.000,0.0,0.0,0.000±0.000,0.0,0.0,1,3.000±0.000,3.0,0.0,False
post_fix_focused_30x200,supplier_beg_rashid,contaminated,4,4,2,A1,4,M2,-0.200±0.000,-0.2,0.0,0.000±0.000,0.0,0.0,0.000±0.000,0.0,0.0,1,3.000±0.000,3.0,0.0,False
post_fix_focused_30x200,supplier_beg_rashid,contaminated,4,4,2,A1,4,M3,-0.200±0.000,-0.2,0.0,0.000±0.000,0.0,0.0,0.000±0.000,0.0,0.0,1,3.000±0.000,3.0,0.0,False
post_fix_focused_30x200,supplier_beg_rashid,contaminated,4,4,2,A1,4,M4,-0.200±0.000,-0.2,0.0,0.000±0.000,0.0,0.0,0.000±0.000,0.0,0.0,1,3.000±0.000,3.0,0.0,False
post_fix_focused_30x200,supplier_beg_rashid,contaminated,4,4,2,A1,4,M5,-0.200±0.000,-0.2,0.0,0.000±0.000,0.0,0.0,0.000±0.000,0.0,0.0,1,3.000±0.000,3.0,0.0,False
post_fix_focused_30x200,supplier_beg_rashid,contaminated,4,4,2,A1,4,M6,-0.200±0.000,-0.2,0.0,0.000±0.000,0.0,0.0,0.000±0.000,0.0,0.0,1,3.000±0.000,3.0,0.0,False
post_fix_focused_30x200,supplier_beg_rashid,contaminated,4,4,2,A1,4,M7,-0.200±0.000,-0.2,0.0,0.000±0.000,0.0,0.0,0.000±0.000,0.0,0.0,1,3.000±0.000,3.0,0.0,False
post_fix_focused_30x200,supplier_wu,clean,4,4,2,A1,4,M1,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,4,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,supplier_wu,clean,4,4,2,A1,4,M2,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,4,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,supplier_wu,clean,4,4,2,A1,4,M3,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,4,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,supplier_wu,clean,4,4,2,A1,4,M4,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,4,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,supplier_wu,clean,4,4,2,A1,4,M5,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,4,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,supplier_wu,clean,4,4,2,A1,4,M6,0.800±0.000,0.8,0.0,0.667±0.000,0.667,0.0,0.000±0.000,0.0,0.0,4,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,supplier_wu,clean,4,4,2,A1,4,M7,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,4,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,supplier_wu,contaminated,4,4,2,A1,4,M1,-0.800±0.000,-0.8,0.0,-0.667±0.000,-0.667,0.0,0.000±0.000,0.0,0.0,1,3.000±0.000,3.0,0.0,False
post_fix_focused_30x200,supplier_wu,contaminated,4,4,2,A1,4,M2,-0.787±0.072,-0.787,0.072,-0.656±0.060,-0.656,0.06,0.000±0.000,0.0,0.0,1,2.967±0.180,2.967,0.18,False
post_fix_focused_30x200,supplier_wu,contaminated,4,4,2,A1,4,M3,-0.800±0.000,-0.8,0.0,-0.667±0.000,-0.667,0.0,0.000±0.000,0.0,0.0,1,3.000±0.000,3.0,0.0,False
post_fix_focused_30x200,supplier_wu,contaminated,4,4,2,A1,4,M4,-0.800±0.000,-0.8,0.0,-0.667±0.000,-0.667,0.0,0.000±0.000,0.0,0.0,1,3.000±0.000,3.0,0.0,False
post_fix_focused_30x200,supplier_wu,contaminated,4,4,2,A1,4,M5,-0.800±0.000,-0.8,0.0,-0.667±0.000,-0.667,0.0,0.000±0.000,0.0,0.0,1,3.000±0.000,3.0,0.0,False
post_fix_focused_30x200,supplier_wu,contaminated,4,4,2,A1,4,M6,-1.000±0.000,-1.0,0.0,-1.000±0.000,-1.0,0.0,0.000±0.000,0.0,0.0,1,3.000±0.000,3.0,0.0,False
post_fix_focused_30x200,supplier_wu,contaminated,4,4,2,A1,4,M7,-0.080±0.160,-0.08,0.16,-0.067±0.133,-0.067,0.133,0.000±0.000,0.0,0.0,2,2.200±0.400,2.2,0.4,False
