dataset,attacker_fraction_requested,attacker_fraction_effective,method,metric,mean,std,n,ci95_low,ci95_high
healthcare_countries_2021,0.10,0.133,M1,spearman,0.772000,,1,0.772000,0.772000
healthcare_countries_2021,0.10,0.133,M1,kendall,0.809000,,1,0.809000,0.809000
healthcare_countries_2021,0.10,0.133,M1,top1_acc,0.000000,,1,0.000000,0.000000
healthcare_countries_2021,0.10,0.133,M1,target_rank_error,25.000000,,1,25.000000,25.000000
healthcare_countries_2021,0.10,0.133,M2,spearman,0.970000,0.004000,30,0.968507,0.971493
healthcare_countries_2021,0.10,0.133,M2,kendall,0.926000,0.006000,30,0.923760,0.928240
healthcare_countries_2021,0.10,0.133,M2,top1_acc,1.000000,0.000000,30,1.000000,1.000000
healthcare_countries_2021,0.10,0.133,M2,target_rank_error,8.400000,0.663000,30,8.152460,8.647540
healthcare_countries_2021,0.10,0.133,M3,spearman,0.999000,,1,0.999000,0.999000
healthcare_countries_2021,0.10,0.133,M3,kendall,0.994000,,1,0.994000,0.994000
healthcare_countries_2021,0.10,0.133,M3,top1_acc,1.000000,,1,1.000000,1.000000
healthcare_countries_2021,0.10,0.133,M3,target_rank_error,0.000000,,1,0.000000,0.000000
healthcare_countries_2021,0.10,0.133,M4,spearman,1.000000,0.000000,30,1.000000,1.000000
healthcare_countries_2021,0.10,0.133,M4,kendall,0.999000,0.003000,30,0.997880,1.000120
healthcare_countries_2021,0.10,0.133,M4,top1_acc,1.000000,0.000000,30,1.000000,1.000000
healthcare_countries_2021,0.10,0.133,M4,target_rank_error,0.000000,0.000000,30,0.000000,0.000000
healthcare_countries_2021,0.10,0.133,M5,spearman,0.978000,0.000000,30,0.978000,0.978000
healthcare_countries_2021,0.10,0.133,M5,kendall,0.933000,0.004000,30,0.931507,0.934493
healthcare_countries_2021,0.10,0.133,M5,top1_acc,1.000000,0.000000,30,1.000000,1.000000
healthcare_countries_2021,0.10,0.133,M5,target_rank_error,7.000000,0.000000,30,7.000000,7.000000
healthcare_countries_2021,0.10,0.133,M6,spearman,1.000000,0.000000,30,1.000000,1.000000
healthcare_countries_2021,0.10,0.133,M6,kendall,0.998000,0.003000,30,0.996880,0.999120
healthcare_countries_2021,0.10,0.133,M6,top1_acc,1.000000,0.000000,30,1.000000,1.000000
healthcare_countries_2021,0.10,0.133,M6,target_rank_error,0.000000,0.000000,30,0.000000,0.000000
healthcare_countries_2021,0.10,0.133,M7,spearman,1.000000,0.000000,30,1.000000,1.000000
healthcare_countries_2021,0.10,0.133,M7,kendall,1.000000,0.000000,30,1.000000,1.000000
healthcare_countries_2021,0.10,0.133,M7,top1_acc,1.000000,0.000000,30,1.000000,1.000000
healthcare_countries_2021,0.10,0.133,M7,target_rank_error,0.000000,0.000000,30,0.000000,0.000000
healthcare_countries_2021,0.20,0.200,M1,spearman,0.772000,,1,0.772000,0.772000
healthcare_countries_2021,0.20,0.200,M1,kendall,0.809000,,1,0.809000,0.809000
healthcare_countries_2021,0.20,0.200,M1,top1_acc,0.000000,,1,0.000000,0.000000
healthcare_countries_2021,0.20,0.200,M1,target_rank_error,25.000000,,1,25.000000,25.000000
healthcare_countries_2021,0.20,0.200,M2,spearman,0.922000,0.008000,30,0.919013,0.924987
healthcare_countries_2021,0.20,0.200,M2,kendall,0.888000,0.007000,30,0.885386,0.890614
healthcare_countries_2021,0.20,0.200,M2,top1_acc,1.000000,0.000000,30,1.000000,1.000000
healthcare_countries_2021,0.20,0.200,M2,target_rank_error,14.267000,0.814000,30,13.963082,14.570918
healthcare_countries_2021,0.20,0.200,M3,spearman,1.000000,,1,1.000000,1.000000
healthcare_countries_2021,0.20,0.200,M3,kendall,1.000000,,1,1.000000,1.000000
healthcare_countries_2021,0.20,0.200,M3,top1_acc,1.000000,,1,1.000000,1.000000
healthcare_countries_2021,0.20,0.200,M3,target_rank_error,0.000000,,1,0.000000,0.000000
healthcare_countries_2021,0.20,0.200,M4,spearman,1.000000,0.000000,30,1.000000,1.000000
healthcare_countries_2021,0.20,0.200,M4,kendall,0.998000,0.003000,30,0.996880,0.999120
healthcare_countries_2021,0.20,0.200,M4,top1_acc,1.000000,0.000000,30,1.000000,1.000000
healthcare_countries_2021,0.20,0.200,M4,target_rank_error,0.000000,0.000000,30,0.000000,0.000000
healthcare_countries_2021,0.20,0.200,M5,spearman,0.915000,0.000000,30,0.915000,0.915000
healthcare_countries_2021,0.20,0.200,M5,kendall,0.883000,0.004000,30,0.881507,0.884493
healthcare_countries_2021,0.20,0.200,M5,top1_acc,1.000000,0.000000,30,1.000000,1.000000
healthcare_countries_2021,0.20,0.200,M5,target_rank_error,15.000000,0.000000,30,15.000000,15.000000
healthcare_countries_2021,0.20,0.200,M6,spearman,1.000000,0.000000,30,1.000000,1.000000
healthcare_countries_2021,0.20,0.200,M6,kendall,0.998000,0.003000,30,0.996880,0.999120
healthcare_countries_2021,0.20,0.200,M6,top1_acc,1.000000,0.000000,30,1.000000,1.000000
healthcare_countries_2021,0.20,0.200,M6,target_rank_error,0.000000,0.000000,30,0.000000,0.000000
healthcare_countries_2021,0.20,0.200,M7,spearman,1.000000,0.000000,30,1.000000,1.000000
healthcare_countries_2021,0.20,0.200,M7,kendall,1.000000,0.001000,30,0.999627,1.000373
healthcare_countries_2021,0.20,0.200,M7,top1_acc,1.000000,0.000000,30,1.000000,1.000000
healthcare_countries_2021,0.20,0.200,M7,target_rank_error,0.000000,0.000000,30,0.000000,0.000000
healthcare_countries_2021,0.30,0.267,M1,spearman,0.771000,,1,0.771000,0.771000
healthcare_countries_2021,0.30,0.267,M1,kendall,0.797000,,1,0.797000,0.797000
healthcare_countries_2021,0.30,0.267,M1,top1_acc,0.000000,,1,0.000000,0.000000
healthcare_countries_2021,0.30,0.267,M1,target_rank_error,25.000000,,1,25.000000,25.000000
healthcare_countries_2021,0.30,0.267,M2,spearman,0.871000,0.006000,30,0.868760,0.873240
healthcare_countries_2021,0.30,0.267,M2,kendall,0.856000,0.003000,30,0.854880,0.857120
healthcare_countries_2021,0.30,0.267,M2,top1_acc,1.000000,0.000000,30,1.000000,1.000000
healthcare_countries_2021,0.30,0.267,M2,target_rank_error,18.633000,0.482000,30,18.453038,18.812962
healthcare_countries_2021,0.30,0.267,M3,spearman,0.999000,,1,0.999000,0.999000
healthcare_countries_2021,0.30,0.267,M3,kendall,0.994000,,1,0.994000,0.994000
healthcare_countries_2021,0.30,0.267,M3,top1_acc,1.000000,,1,1.000000,1.000000
healthcare_countries_2021,0.30,0.267,M3,target_rank_error,0.000000,,1,0.000000,0.000000
healthcare_countries_2021,0.30,0.267,M4,spearman,0.999000,0.000000,30,0.999000,0.999000
healthcare_countries_2021,0.30,0.267,M4,kendall,0.993000,0.002000,30,0.992253,0.993747
healthcare_countries_2021,0.30,0.267,M4,top1_acc,1.000000,0.000000,30,1.000000,1.000000
healthcare_countries_2021,0.30,0.267,M4,target_rank_error,0.000000,0.000000,30,0.000000,0.000000
healthcare_countries_2021,0.30,0.267,M5,spearman,0.838000,0.000000,30,0.838000,0.838000
healthcare_countries_2021,0.30,0.267,M5,kendall,0.841000,0.002000,30,0.840253,0.841747
healthcare_countries_2021,0.30,0.267,M5,top1_acc,1.000000,0.000000,30,1.000000,1.000000
healthcare_countries_2021,0.30,0.267,M5,target_rank_error,21.000000,0.000000,30,21.000000,21.000000
healthcare_countries_2021,0.30,0.267,M6,spearman,0.999000,0.000000,30,0.999000,0.999000
healthcare_countries_2021,0.30,0.267,M6,kendall,0.993000,0.002000,30,0.992253,0.993747
healthcare_countries_2021,0.30,0.267,M6,top1_acc,1.000000,0.000000,30,1.000000,1.000000
healthcare_countries_2021,0.30,0.267,M6,target_rank_error,0.000000,0.000000,30,0.000000,0.000000
healthcare_countries_2021,0.30,0.267,M7,spearman,0.999000,0.000000,30,0.999000,0.999000
healthcare_countries_2021,0.30,0.267,M7,kendall,0.994000,0.000000,30,0.994000,0.994000
healthcare_countries_2021,0.30,0.267,M7,top1_acc,1.000000,0.000000,30,1.000000,1.000000
healthcare_countries_2021,0.30,0.267,M7,target_rank_error,0.000000,0.000000,30,0.000000,0.000000
healthcare_countries_2021,0.40,0.400,M1,spearman,0.770000,,1,0.770000,0.770000
healthcare_countries_2021,0.40,0.400,M1,kendall,0.791000,,1,0.791000,0.791000
healthcare_countries_2021,0.40,0.400,M1,top1_acc,0.000000,,1,0.000000,0.000000
healthcare_countries_2021,0.40,0.400,M1,target_rank_error,25.000000,,1,25.000000,25.000000
healthcare_countries_2021,0.40,0.400,M2,spearman,0.795000,0.007000,30,0.792386,0.797614
healthcare_countries_2021,0.40,0.400,M2,kendall,0.821000,0.004000,30,0.819507,0.822493
healthcare_countries_2021,0.40,0.400,M2,top1_acc,1.000000,0.000000,30,1.000000,1.000000
healthcare_countries_2021,0.40,0.400,M2,target_rank_error,23.733000,0.442000,30,23.567973,23.898027
healthcare_countries_2021,0.40,0.400,M3,spearman,0.999000,,1,0.999000,0.999000
healthcare_countries_2021,0.40,0.400,M3,kendall,0.988000,,1,0.988000,0.988000
healthcare_countries_2021,0.40,0.400,M3,top1_acc,1.000000,,1,1.000000,1.000000
healthcare_countries_2021,0.40,0.400,M3,target_rank_error,0.000000,,1,0.000000,0.000000
healthcare_countries_2021,0.40,0.400,M4,spearman,0.999000,0.000000,30,0.999000,0.999000
healthcare_countries_2021,0.40,0.400,M4,kendall,0.988000,0.001000,30,0.987627,0.988373
healthcare_countries_2021,0.40,0.400,M4,top1_acc,1.000000,0.000000,30,1.000000,1.000000
healthcare_countries_2021,0.40,0.400,M4,target_rank_error,0.000000,0.000000,30,0.000000,0.000000
healthcare_countries_2021,0.40,0.400,M5,spearman,0.999000,0.000000,30,0.999000,0.999000
healthcare_countries_2021,0.40,0.400,M5,kendall,0.994000,0.000000,30,0.994000,0.994000
healthcare_countries_2021,0.40,0.400,M5,top1_acc,1.000000,0.000000,30,1.000000,1.000000
healthcare_countries_2021,0.40,0.400,M5,target_rank_error,0.000000,0.000000,30,0.000000,0.000000
healthcare_countries_2021,0.40,0.400,M6,spearman,0.999000,0.000000,30,0.999000,0.999000
healthcare_countries_2021,0.40,0.400,M6,kendall,0.989000,0.003000,30,0.987880,0.990120
healthcare_countries_2021,0.40,0.400,M6,top1_acc,1.000000,0.000000,30,1.000000,1.000000
healthcare_countries_2021,0.40,0.400,M6,target_rank_error,0.000000,0.000000,30,0.000000,0.000000
healthcare_countries_2021,0.40,0.400,M7,spearman,0.999000,0.000000,30,0.999000,0.999000
healthcare_countries_2021,0.40,0.400,M7,kendall,0.989000,0.003000,30,0.987880,0.990120
healthcare_countries_2021,0.40,0.400,M7,top1_acc,1.000000,0.000000,30,1.000000,1.000000
healthcare_countries_2021,0.40,0.400,M7,target_rank_error,0.000000,0.000000,30,0.000000,0.000000
healthcare_countries_2021,0.50,0.533,M1,spearman,0.774000,,1,0.774000,0.774000
healthcare_countries_2021,0.50,0.533,M1,kendall,0.815000,,1,0.815000,0.815000
healthcare_countries_2021,0.50,0.533,M1,top1_acc,0.000000,,1,0.000000,0.000000
healthcare_countries_2021,0.50,0.533,M1,target_rank_error,25.000000,,1,25.000000,25.000000
healthcare_countries_2021,0.50,0.533,M2,spearman,0.773000,0.001000,30,0.772627,0.773373
healthcare_countries_2021,0.50,0.533,M2,kendall,0.815000,0.006000,30,0.812760,0.817240
healthcare_countries_2021,0.50,0.533,M2,top1_acc,0.000000,0.000000,30,0.000000,0.000000
healthcare_countries_2021,0.50,0.533,M2,target_rank_error,25.000000,0.000000,30,25.000000,25.000000
healthcare_countries_2021,0.50,0.533,M3,spearman,0.070000,,1,0.070000,0.070000
healthcare_countries_2021,0.50,0.533,M3,kendall,0.065000,,1,0.065000,0.065000
healthcare_countries_2021,0.50,0.533,M3,top1_acc,0.000000,,1,0.000000,0.000000
healthcare_countries_2021,0.50,0.533,M3,target_rank_error,25.000000,,1,25.000000,25.000000
healthcare_countries_2021,0.50,0.533,M4,spearman,0.774000,0.001000,30,0.773627,0.774373
healthcare_countries_2021,0.50,0.533,M4,kendall,0.823000,0.006000,30,0.820760,0.825240
healthcare_countries_2021,0.50,0.533,M4,top1_acc,0.000000,0.000000,30,0.000000,0.000000
healthcare_countries_2021,0.50,0.533,M4,target_rank_error,25.000000,0.000000,30,25.000000,25.000000
healthcare_countries_2021,0.50,0.533,M5,spearman,0.771000,0.000000,30,0.771000,0.771000
healthcare_countries_2021,0.50,0.533,M5,kendall,0.797000,0.000000,30,0.797000,0.797000
healthcare_countries_2021,0.50,0.533,M5,top1_acc,0.000000,0.000000,30,0.000000,0.000000
healthcare_countries_2021,0.50,0.533,M5,target_rank_error,25.000000,0.000000,30,25.000000,25.000000
healthcare_countries_2021,0.50,0.533,M6,spearman,0.775000,0.000000,30,0.775000,0.775000
healthcare_countries_2021,0.50,0.533,M6,kendall,0.828000,0.000000,30,0.828000,0.828000
healthcare_countries_2021,0.50,0.533,M6,top1_acc,0.000000,0.000000,30,0.000000,0.000000
healthcare_countries_2021,0.50,0.533,M6,target_rank_error,25.000000,0.000000,30,25.000000,25.000000
healthcare_countries_2021,0.50,0.533,M7,spearman,0.998000,0.000000,30,0.998000,0.998000
healthcare_countries_2021,0.50,0.533,M7,kendall,0.983000,0.003000,30,0.981880,0.984120
healthcare_countries_2021,0.50,0.533,M7,top1_acc,1.000000,0.000000,30,1.000000,1.000000
healthcare_countries_2021,0.50,0.533,M7,target_rank_error,0.000000,0.000000,30,0.000000,0.000000
healthcare_countries_2021,0.60,0.600,M1,spearman,0.772000,,1,0.772000,0.772000
healthcare_countries_2021,0.60,0.600,M1,kendall,0.809000,,1,0.809000,0.809000
healthcare_countries_2021,0.60,0.600,M1,top1_acc,0.000000,,1,0.000000,0.000000
healthcare_countries_2021,0.60,0.600,M1,target_rank_error,25.000000,,1,25.000000,25.000000
healthcare_countries_2021,0.60,0.600,M2,spearman,0.774000,0.000000,30,0.774000,0.774000
healthcare_countries_2021,0.60,0.600,M2,kendall,0.821000,0.002000,30,0.820253,0.821747
healthcare_countries_2021,0.60,0.600,M2,top1_acc,0.000000,0.000000,30,0.000000,0.000000
healthcare_countries_2021,0.60,0.600,M2,target_rank_error,25.000000,0.000000,30,25.000000,25.000000
healthcare_countries_2021,0.60,0.600,M3,spearman,0.070000,,1,0.070000,0.070000
healthcare_countries_2021,0.60,0.600,M3,kendall,0.065000,,1,0.065000,0.065000
healthcare_countries_2021,0.60,0.600,M3,top1_acc,0.000000,,1,0.000000,0.000000
healthcare_countries_2021,0.60,0.600,M3,target_rank_error,25.000000,,1,25.000000,25.000000
healthcare_countries_2021,0.60,0.600,M4,spearman,0.774000,0.001000,30,0.773627,0.774373
healthcare_countries_2021,0.60,0.600,M4,kendall,0.819000,0.008000,30,0.816013,0.821987
healthcare_countries_2021,0.60,0.600,M4,top1_acc,0.000000,0.000000,30,0.000000,0.000000
healthcare_countries_2021,0.60,0.600,M4,target_rank_error,25.000000,0.000000,30,25.000000,25.000000
healthcare_countries_2021,0.60,0.600,M5,spearman,0.772000,0.000000,30,0.772000,0.772000
healthcare_countries_2021,0.60,0.600,M5,kendall,0.809000,0.000000,30,0.809000,0.809000
healthcare_countries_2021,0.60,0.600,M5,top1_acc,0.000000,0.000000,30,0.000000,0.000000
healthcare_countries_2021,0.60,0.600,M5,target_rank_error,25.000000,0.000000,30,25.000000,25.000000
healthcare_countries_2021,0.60,0.600,M6,spearman,0.776000,0.000000,30,0.776000,0.776000
healthcare_countries_2021,0.60,0.600,M6,kendall,0.833000,0.002000,30,0.832253,0.833747
healthcare_countries_2021,0.60,0.600,M6,top1_acc,0.000000,0.000000,30,0.000000,0.000000
healthcare_countries_2021,0.60,0.600,M6,target_rank_error,25.000000,0.000000,30,25.000000,25.000000
healthcare_countries_2021,0.60,0.600,M7,spearman,0.996000,0.000000,30,0.996000,0.996000
healthcare_countries_2021,0.60,0.600,M7,kendall,0.975000,0.002000,30,0.974253,0.975747
healthcare_countries_2021,0.60,0.600,M7,top1_acc,1.000000,0.000000,30,1.000000,1.000000
healthcare_countries_2021,0.60,0.600,M7,target_rank_error,0.000000,0.000000,30,0.000000,0.000000
car_evaluation,0.10,0.133,M1,spearman,0.988000,,1,0.988000,0.988000
car_evaluation,0.10,0.133,M1,kendall,0.971000,,1,0.971000,0.971000
car_evaluation,0.10,0.133,M1,top1_acc,1.000000,,1,1.000000,1.000000
car_evaluation,0.10,0.133,M1,target_rank_error,222.000000,,1,222.000000,222.000000
car_evaluation,0.10,0.133,M2,spearman,0.999000,0.000000,30,0.999000,0.999000
car_evaluation,0.10,0.133,M2,kendall,0.981000,0.000000,30,0.981000,0.981000
car_evaluation,0.10,0.133,M2,top1_acc,1.000000,0.000000,30,1.000000,1.000000
car_evaluation,0.10,0.133,M2,target_rank_error,28.967000,3.038000,30,27.832720,30.101280
car_evaluation,0.10,0.133,M3,spearman,1.000000,,1,1.000000,1.000000
car_evaluation,0.10,0.133,M3,kendall,0.990000,,1,0.990000,0.990000
car_evaluation,0.10,0.133,M3,top1_acc,1.000000,,1,1.000000,1.000000
car_evaluation,0.10,0.133,M3,target_rank_error,0.000000,,1,0.000000,0.000000
car_evaluation,0.10,0.133,M4,spearman,0.999000,0.000000,30,0.999000,0.999000
car_evaluation,0.10,0.133,M4,kendall,0.982000,0.000000,30,0.982000,0.982000
car_evaluation,0.10,0.133,M4,top1_acc,1.000000,0.000000,30,1.000000,1.000000
car_evaluation,0.10,0.133,M4,target_rank_error,0.000000,0.000000,30,0.000000,0.000000
car_evaluation,0.10,0.133,M5,spearman,0.999000,0.000000,30,0.999000,0.999000
car_evaluation,0.10,0.133,M5,kendall,0.982000,0.000000,30,0.982000,0.982000
car_evaluation,0.10,0.133,M5,top1_acc,1.000000,0.000000,30,1.000000,1.000000
car_evaluation,0.10,0.133,M5,target_rank_error,11.067000,0.249000,30,10.974032,11.159968
car_evaluation,0.10,0.133,M6,spearman,0.999000,0.000000,30,0.999000,0.999000
car_evaluation,0.10,0.133,M6,kendall,0.982000,0.000000,30,0.982000,0.982000
car_evaluation,0.10,0.133,M6,top1_acc,1.000000,0.000000,30,1.000000,1.000000
car_evaluation,0.10,0.133,M6,target_rank_error,0.000000,0.000000,30,0.000000,0.000000
car_evaluation,0.10,0.133,M7,spearman,0.999000,0.000000,30,0.999000,0.999000
car_evaluation,0.10,0.133,M7,kendall,0.982000,0.000000,30,0.982000,0.982000
car_evaluation,0.10,0.133,M7,top1_acc,1.000000,0.000000,30,1.000000,1.000000
car_evaluation,0.10,0.133,M7,target_rank_error,0.000000,0.000000,30,0.000000,0.000000
car_evaluation,0.20,0.200,M1,spearman,0.985000,,1,0.985000,0.985000
car_evaluation,0.20,0.200,M1,kendall,0.968000,,1,0.968000,0.968000
car_evaluation,0.20,0.200,M1,top1_acc,1.000000,,1,1.000000,1.000000
car_evaluation,0.20,0.200,M1,target_rank_error,252.000000,,1,252.000000,252.000000
car_evaluation,0.20,0.200,M2,spearman,0.998000,0.000000,30,0.998000,0.998000
car_evaluation,0.20,0.200,M2,kendall,0.978000,0.000000,30,0.978000,0.978000
car_evaluation,0.20,0.200,M2,top1_acc,1.000000,0.000000,30,1.000000,1.000000
car_evaluation,0.20,0.200,M2,target_rank_error,70.733000,4.328000,30,69.117080,72.348920
car_evaluation,0.20,0.200,M3,spearman,1.000000,,1,1.000000,1.000000
car_evaluation,0.20,0.200,M3,kendall,0.987000,,1,0.987000,0.987000
car_evaluation,0.20,0.200,M3,top1_acc,1.000000,,1,1.000000,1.000000
car_evaluation,0.20,0.200,M3,target_rank_error,0.000000,,1,0.000000,0.000000
car_evaluation,0.20,0.200,M4,spearman,0.999000,0.000000,30,0.999000,0.999000
car_evaluation,0.20,0.200,M4,kendall,0.981000,0.000000,30,0.981000,0.981000
car_evaluation,0.20,0.200,M4,top1_acc,1.000000,0.000000,30,1.000000,1.000000
car_evaluation,0.20,0.200,M4,target_rank_error,0.000000,0.000000,30,0.000000,0.000000
car_evaluation,0.20,0.200,M5,spearman,0.999000,0.000000,30,0.999000,0.999000
car_evaluation,0.20,0.200,M5,kendall,0.979000,0.000000,30,0.979000,0.979000
car_evaluation,0.20,0.200,M5,top1_acc,1.000000,0.000000,30,1.000000,1.000000
car_evaluation,0.20,0.200,M5,target_rank_error,42.000000,0.000000,30,42.000000,42.000000
car_evaluation,0.20,0.200,M6,spearman,0.999000,0.000000,30,0.999000,0.999000
car_evaluation,0.20,0.200,M6,kendall,0.981000,0.000000,30,0.981000,0.981000
car_evaluation,0.20,0.200,M6,top1_acc,1.000000,0.000000,30,1.000000,1.000000
car_evaluation,0.20,0.200,M6,target_rank_error,0.000000,0.000000,30,0.000000,0.000000
car_evaluation,0.20,0.200,M7,spearman,0.999000,0.000000,30,0.999000,0.999000
car_evaluation,0.20,0.200,M7,kendall,0.981000,0.000000,30,0.981000,0.981000
car_evaluation,0.20,0.200,M7,top1_acc,1.000000,0.000000,30,1.000000,1.000000
car_evaluation,0.20,0.200,M7,target_rank_error,0.000000,0.000000,30,0.000000,0.000000
car_evaluation,0.30,0.267,M1,spearman,0.982000,,1,0.982000,0.982000
car_evaluation,0.30,0.267,M1,kendall,0.965000,,1,0.965000,0.965000
car_evaluation,0.30,0.267,M1,top1_acc,1.000000,,1,1.000000,1.000000
car_evaluation,0.30,0.267,M1,target_rank_error,276.000000,,1,276.000000,276.000000
car_evaluation,0.30,0.267,M2,spearman,0.996000,0.000000,30,0.996000,0.996000
car_evaluation,0.30,0.267,M2,kendall,0.972000,0.001000,30,0.971627,0.972373
car_evaluation,0.30,0.267,M2,top1_acc,1.000000,0.000000,30,1.000000,1.000000
car_evaluation,0.30,0.267,M2,target_rank_error,124.400000,5.908000,30,122.194164,126.605836
car_evaluation,0.30,0.267,M3,spearman,0.999000,,1,0.999000,0.999000
car_evaluation,0.30,0.267,M3,kendall,0.983000,,1,0.983000,0.983000
car_evaluation,0.30,0.267,M3,top1_acc,1.000000,,1,1.000000,1.000000
car_evaluation,0.30,0.267,M3,target_rank_error,0.000000,,1,0.000000,0.000000
car_evaluation,0.30,0.267,M4,spearman,0.999000,0.000000,30,0.999000,0.999000
car_evaluation,0.30,0.267,M4,kendall,0.978000,0.000000,30,0.978000,0.978000
car_evaluation,0.30,0.267,M4,top1_acc,1.000000,0.000000,30,1.000000,1.000000
car_evaluation,0.30,0.267,M4,target_rank_error,0.000000,0.000000,30,0.000000,0.000000
car_evaluation,0.30,0.267,M5,spearman,0.996000,0.000000,30,0.996000,0.996000
car_evaluation,0.30,0.267,M5,kendall,0.973000,0.000000,30,0.973000,0.973000
car_evaluation,0.30,0.267,M5,top1_acc,1.000000,0.000000,30,1.000000,1.000000
car_evaluation,0.30,0.267,M5,target_rank_error,108.000000,0.000000,30,108.000000,108.000000
car_evaluation,0.30,0.267,M6,spearman,0.999000,0.000000,30,0.999000,0.999000
car_evaluation,0.30,0.267,M6,kendall,0.978000,0.000000,30,0.978000,0.978000
car_evaluation,0.30,0.267,M6,top1_acc,1.000000,0.000000,30,1.000000,1.000000
car_evaluation,0.30,0.267,M6,target_rank_error,0.000000,0.000000,30,0.000000,0.000000
car_evaluation,0.30,0.267,M7,spearman,0.999000,0.000000,30,0.999000,0.999000
car_evaluation,0.30,0.267,M7,kendall,0.978000,0.000000,30,0.978000,0.978000
car_evaluation,0.30,0.267,M7,top1_acc,1.000000,0.000000,30,1.000000,1.000000
car_evaluation,0.30,0.267,M7,target_rank_error,0.000000,0.000000,30,0.000000,0.000000
car_evaluation,0.40,0.400,M1,spearman,0.979000,,1,0.979000,0.979000
car_evaluation,0.40,0.400,M1,kendall,0.963000,,1,0.963000,0.963000
car_evaluation,0.40,0.400,M1,top1_acc,0.000000,,1,0.000000,0.000000
car_evaluation,0.40,0.400,M1,target_rank_error,299.000000,,1,299.000000,299.000000
car_evaluation,0.40,0.400,M2,spearman,0.988000,0.001000,30,0.987627,0.988373
